                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3972,                0.90415,                 1.3352,                0.86911,                0.81176,                0.88839,                0.51695,                 1.4446,                0.76812,                 1.3569,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.3894,                0.89069,                 1.3259,                0.91577,                0.80392,                0.90403,                0.54577,                 1.3752,                0.74171,                 1.3078,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.3774,                0.89228,                 1.3192,                0.84674,                 0.8451,                0.89987,                0.51315,                 1.4476,                0.76678,                 1.3451,               0.001307,               0.001307,               0.001307
                     38,                 1.3776,                0.89118,                 1.3213,                0.87214,                0.82157,                0.89997,                 0.5204,                  1.442,                0.77848,                 1.3445,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.3779,                0.87614,                 1.3203,                0.87144,                0.82843,                0.89703,                0.54371,                 1.3828,                0.74217,                 1.2998,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.3604,                0.86987,                 1.3056,                0.89593,                0.82712,                0.90164,                0.53833,                 1.3845,                0.74589,                 1.2989,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.3544,                0.85858,                 1.3027,                0.91318,                0.83824,                0.91388,                0.55272,                 1.3702,                0.72405,                 1.2929,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.3449,                0.85373,                  1.301,                0.88964,                0.82197,                0.90496,                 0.5368,                 1.3946,                0.74373,                  1.309,               0.001208,               0.001208,               0.001208
                     43,                 1.3532,                0.84606,                 1.3023,                0.87004,                0.83039,                0.90238,                0.53876,                 1.3916,                 0.7331,                 1.3052,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.3484,                 0.8496,                    1.3,                 0.9115,                0.82157,                0.91489,                0.54813,                 1.3741,                0.73495,                  1.301,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.3362,                0.84567,                 1.2891,                0.90044,                0.85392,                0.91954,                0.54738,                 1.3775,                0.71815,                 1.2972,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.3378,                0.84187,                 1.2888,                0.90225,                0.84804,                0.91765,                0.55546,                 1.3419,                0.71319,                 1.2789,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.3238,                0.82484,                 1.2812,                0.90677,                0.84216,                0.91928,                0.55461,                 1.3701,                0.69681,                  1.284,               0.001109,               0.001109,               0.001109
                     48,                 1.3252,                0.81811,                 1.2776,                0.90794,                0.83151,                0.92132,                 0.5677,                 1.3391,                0.69366,                 1.2721,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.3108,                 0.8169,                 1.2743,                0.90874,                0.84216,                0.92138,                0.56415,                 1.3452,                0.68873,                 1.2691,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.3215,                0.81878,                 1.2718,                0.91545,                0.83431,                0.91347,                0.55854,                 1.3478,                0.69135,                 1.2699,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.2995,                0.79877,                 1.2688,                0.89856,                0.84216,                 0.9243,                0.56987,                 1.3348,                0.66777,                 1.2617,              0.0010298,              0.0010298,              0.0010298
                     52,                 1.3134,                0.80586,                 1.2715,                0.89458,                0.86078,                0.92248,                0.57124,                 1.3363,                0.66218,                 1.2683,                0.00101,                0.00101,                0.00101
                     53,                 1.2947,                 0.8079,                 1.2687,                0.88436,                0.84724,                 0.9254,                 0.5637,                 1.3581,                0.67229,                 1.2686,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.2819,                0.78171,                 1.2609,                0.90788,                0.86373,                0.92265,                0.56249,                 1.3743,                0.67816,                 1.2985,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.2739,                0.77753,                 1.2526,                0.89397,                0.85784,                0.92599,                0.56957,                 1.3423,                0.66152,                 1.2781,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.2865,                0.79086,                  1.257,                0.89835,                0.85196,                0.92765,                0.57385,                 1.3259,                0.66775,                 1.2664,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.2652,                0.77142,                 1.2525,                0.90201,                0.84829,                0.91817,                0.56388,                 1.3358,                0.66779,                 1.2795,               0.000911,               0.000911,               0.000911
                     58,                 1.2681,                0.76655,                 1.2468,                0.89991,                 0.8638,                0.91716,                0.56401,                 1.3456,                0.66981,                 1.2743,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.2638,                0.75377,                 1.2411,                0.91292,                   0.85,                0.92451,                0.57539,                 1.3308,                 0.6456,                 1.2636,              0.0008714,              0.0008714,              0.0008714
                     60,                  1.261,                0.75195,                 1.2415,                0.92493,                0.86974,                0.93697,                0.58762,                 1.3012,                0.61902,                  1.254,              0.0008516,              0.0008516,              0.0008516
                     61,                 1.2523,                0.75453,                 1.2376,                0.94137,                0.84804,                0.93398,                0.58215,                   1.31,                0.63612,                 1.2513,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.2521,                0.74821,                 1.2331,                0.91952,                0.85882,                0.93482,                0.59035,                 1.2963,                0.63313,                 1.2354,               0.000812,               0.000812,               0.000812
                     63,                 1.2424,                0.75605,                 1.2384,                0.91779,                0.87255,                0.93456,                0.58816,                 1.2961,                0.61897,                 1.2482,              0.0007922,              0.0007922,              0.0007922
                     64,                 1.2422,                0.74178,                 1.2332,                0.90869,                0.86765,                 0.9316,                0.58817,                    1.3,                0.62477,                 1.2422,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.2282,                0.73089,                 1.2208,                0.89364,                0.86493,                0.92406,                0.58056,                 1.3078,                0.63672,                 1.2523,              0.0007526,              0.0007526,              0.0007526
                     66,                 1.2314,                0.72747,                 1.2253,                0.91223,                0.88652,                0.94008,                 0.5948,                 1.2841,                0.60848,                 1.2309,              0.0007328,              0.0007328,              0.0007328
                     67,                 1.2266,                 0.7312,                 1.2188,                0.91218,                0.87059,                0.93161,                 0.5884,                 1.2901,                 0.6319,                 1.2341,               0.000713,               0.000713,               0.000713
                     68,                 1.2168,                 0.7145,                 1.2192,                0.90116,                0.87647,                0.93561,                0.59385,                 1.2834,                0.60836,                 1.2351,              0.0006932,              0.0006932,              0.0006932
                     69,                 1.2144,                0.71566,                 1.2128,                0.93825,                0.87255,                0.94114,                0.60097,                  1.266,                0.60708,                 1.2193,              0.0006734,              0.0006734,              0.0006734
                     70,                 1.2086,                0.71306,                 1.2107,                0.92232,                0.86471,                 0.9359,                0.59119,                 1.2997,                0.60929,                 1.2409,              0.0006536,              0.0006536,              0.0006536
                     71,                 1.2009,                0.71122,                 1.2023,                0.90488,                0.89118,                0.94214,                0.58664,                 1.3107,                0.61473,                 1.2434,              0.0006338,              0.0006338,              0.0006338
                     72,                 1.1962,                0.70613,                 1.2029,                0.93282,                0.86078,                  0.937,                0.59003,                 1.2923,                0.60476,                 1.2314,               0.000614,               0.000614,               0.000614
                     73,                 1.2033,                  0.698,                 1.2055,                0.92669,                0.86569,                0.93427,                0.58902,                  1.296,                0.59733,                 1.2405,              0.0005942,              0.0005942,              0.0005942
                     74,                 1.1938,                0.69836,                 1.1961,                0.91632,                0.88034,                0.94127,                0.60224,                  1.258,                0.58926,                 1.2109,              0.0005744,              0.0005744,              0.0005744
                     75,                 1.1892,                0.69791,                 1.1979,                0.93188,                0.87179,                0.94237,                0.59791,                 1.2707,                 0.5913,                 1.2197,              0.0005546,              0.0005546,              0.0005546
                     76,                 1.1877,                0.68869,                 1.1999,                0.91803,                0.89608,                0.94626,                0.60608,                 1.2574,                0.58515,                 1.2139,              0.0005348,              0.0005348,              0.0005348
                     77,                   1.18,                0.68187,                 1.1921,                  0.932,                0.87059,                0.94382,                0.60664,                 1.2507,                0.58061,                  1.206,               0.000515,               0.000515,               0.000515
                     78,                 1.1683,                0.67707,                 1.1908,                0.91927,                0.90392,                0.94991,                0.60416,                 1.2597,                0.57552,                 1.2156,              0.0004952,              0.0004952,              0.0004952
                     79,                 1.1699,                0.67461,                 1.1874,                0.92101,                0.89165,                0.94347,                0.60395,                 1.2624,                 0.5817,                 1.2154,              0.0004754,              0.0004754,              0.0004754
                     80,                  1.173,                0.66802,                 1.1827,                0.91359,                0.90392,                0.94632,                0.60803,                 1.2513,                 0.5781,                 1.2083,              0.0004556,              0.0004556,              0.0004556
                     81,                 1.1694,                0.66615,                 1.1861,                0.93397,                0.90196,                0.94705,                0.61362,                 1.2385,                0.56702,                 1.1948,              0.0004358,              0.0004358,              0.0004358
                     82,                 1.1609,                0.66471,                 1.1791,                0.93994,                0.88984,                 0.9475,                  0.608,                 1.2522,                0.57124,                 1.2027,               0.000416,               0.000416,               0.000416
                     83,                 1.1598,                0.66618,                 1.1777,                0.93495,                0.89314,                0.95134,                0.60935,                 1.2525,                0.56918,                 1.2018,              0.0003962,              0.0003962,              0.0003962
                     84,                 1.1391,                0.65484,                 1.1644,                0.92636,                0.90033,                0.94968,                0.61206,                 1.2517,                0.56296,                 1.1963,              0.0003764,              0.0003764,              0.0003764
                     85,                 1.1477,                0.65377,                 1.1658,                0.91959,                0.89314,                0.94989,                 0.6144,                 1.2485,                0.56056,                 1.1996,              0.0003566,              0.0003566,              0.0003566
                     86,                 1.1354,                0.64175,                 1.1625,                0.93272,                0.89216,                0.94965,                0.61254,                 1.2529,                0.55704,                 1.2004,              0.0003368,              0.0003368,              0.0003368
                     87,                 1.1243,                 0.6351,                 1.1595,                0.93279,                0.89801,                0.95003,                0.61712,                 1.2343,                 0.5507,                 1.1895,               0.000317,               0.000317,               0.000317
                     88,                 1.1356,                0.64405,                 1.1662,                0.94398,                0.88824,                0.94973,                  0.614,                 1.2433,                0.55956,                 1.1928,              0.0002972,              0.0002972,              0.0002972
                     89,                 1.1255,                0.63746,                 1.1634,                0.92924,                0.90117,                0.95031,                0.61626,                 1.2305,                0.56148,                 1.1928,              0.0002774,              0.0002774,              0.0002774
                     90,                 1.1218,                0.63807,                 1.1591,                0.92461,                0.90588,                0.95068,                0.61456,                 1.2422,                0.55887,                 1.1917,              0.0002576,              0.0002576,              0.0002576
                     91,                 1.0823,                0.54188,                  1.141,                0.94019,                0.88627,                0.94735,                0.61617,                 1.2365,                0.55402,                 1.1922,              0.0002378,              0.0002378,              0.0002378
                     92,                 1.0621,                0.53437,                 1.1335,                0.94248,                0.88824,                0.94963,                0.62086,                 1.2214,                0.55322,                 1.1853,               0.000218,               0.000218,               0.000218
                     93,                 1.0463,                0.52037,                 1.1249,                0.93768,                0.89804,                0.95138,                0.62474,                 1.2222,                0.54837,                 1.1838,              0.0001982,              0.0001982,              0.0001982
                     94,                 1.0469,                0.51873,                 1.1245,                0.92921,                0.90082,                0.95136,                0.62013,                 1.2231,                0.54324,                 1.1845,              0.0001784,              0.0001784,              0.0001784
                     95,                 1.0342,                0.51296,                 1.1173,                0.93278,                0.90098,                0.95161,                0.62641,                 1.2066,                0.53744,                  1.174,              0.0001586,              0.0001586,              0.0001586
                     96,                 1.0209,                0.50878,                 1.1095,                0.92793,                0.90881,                0.95076,                0.62669,                 1.2047,                0.53931,                 1.1744,              0.0001388,              0.0001388,              0.0001388
                     97,                 1.0201,                0.50475,                 1.1124,                0.93932,                0.89548,                0.95019,                0.62954,                 1.1999,                0.54029,                 1.1741,               0.000119,               0.000119,               0.000119
                     98,                 1.0147,                0.50374,                 1.1115,                0.93071,                 0.9049,                0.95359,                0.63001,                 1.2004,                0.53953,                 1.1731,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                 1.0113,                0.49856,                 1.1106,                0.93095,                0.90588,                0.95283,                0.63007,                 1.2042,                0.54244,                 1.1739,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                 1.0103,                0.49956,                 1.1054,                0.93381,                0.90098,                0.95115,                0.63039,                  1.207,                0.54066,                 1.1757,               5.96e-05,               5.96e-05,               5.96e-05
